trade_no,entry_time,exit_time,direction,entry_price,exit_price,ideal_exit,pnl_pct,pnl_usd,fee_usd,slip_usd,equity,leverage_pnl,cum_pnl,return_pct,dd_pct,month
506,2025-08-26 10:30:00,2025-08-26 10:30:00,SHORT,4421.31,4436.21,4435.32,-0.337,-258.86,49.68,0.89,20440.58,-1.01%,19754.42,2878.81,5.4,2025-08
507,2025-08-26 11:15:00,2025-08-26 11:15:00,LONG,4436.21,4428.95,4429.83,-0.164,-149.42,49.06,0.89,20291.16,-0.49%,19605.0,2857.03,6.09,2025-08
508,2025-08-26 12:30:00,2025-08-26 12:30:00,SHORT,4428.95,4434.39,4433.5,-0.123,-123.51,48.7,0.89,20167.65,-0.37%,19481.49,2839.03,6.66,2025-08
509,2025-08-27 01:15:00,2025-08-27 01:15:00,LONG,4434.39,4551.0,4551.91,2.63,1542.67,48.4,0.91,21710.33,7.89%,21024.16,3063.85,0.0,2025-08
510,2025-08-27 01:45:00,2025-08-27 01:45:00,SHORT,4551.0,4561.82,4560.91,-0.238,-206.87,52.1,0.91,21503.46,-0.71%,20817.29,3033.7,0.95,2025-08
511,2025-08-27 02:00:00,2025-08-27 02:00:00,LONG,4561.82,4546.28,4547.19,-0.341,-271.3,51.61,0.91,21232.16,-1.02%,20545.99,2994.16,2.2,2025-08
512,2025-08-27 02:15:00,2025-08-27 02:15:00,SHORT,4546.28,4567.38,4566.46,-0.464,-346.52,50.96,0.91,20885.63,-1.39%,20199.47,2943.67,3.8,2025-08
513,2025-08-27 03:15:00,2025-08-27 03:15:00,LONG,4567.38,4548.9,4549.81,-0.404,-303.56,50.13,0.91,20582.08,-1.21%,19895.91,2899.43,5.2,2025-08
514,2025-08-27 03:30:00,2025-08-27 03:30:00,SHORT,4548.9,4571.74,4570.83,-0.502,-359.39,49.4,0.91,20222.69,-1.51%,19536.52,2847.05,6.85,2025-08
515,2025-08-27 07:15:00,2025-08-27 07:15:00,LONG,4571.74,4573.53,4574.44,0.039,-24.83,48.53,0.91,20197.86,0.12%,19511.69,2843.44,6.97,2025-08
516,2025-08-27 07:45:00,2025-08-27 07:45:00,SHORT,4573.53,4580.67,4579.75,-0.156,-143.1,48.47,0.92,20054.76,-0.47%,19368.59,2822.58,7.63,2025-08
517,2025-08-27 08:15:00,2025-08-27 08:15:00,LONG,4580.67,4554.72,4555.63,-0.567,-388.98,48.13,0.91,19665.79,-1.7%,18979.61,2765.9,9.42,2025-08
518,2025-08-27 08:45:00,2025-08-27 08:45:00,SHORT,4554.72,4585.55,4584.63,-0.677,-446.55,47.2,0.92,19219.24,-2.03%,18533.06,2700.82,11.47,2025-08
519,2025-08-27 10:30:00,2025-08-27 10:30:00,LONG,4585.55,4578.06,4578.98,-0.163,-140.28,46.13,0.92,19078.96,-0.49%,18392.78,2680.38,12.12,2025-08
520,2025-08-27 11:45:00,2025-08-27 11:45:00,SHORT,4578.06,4613.33,4612.4,-0.77,-486.69,45.79,0.92,18592.27,-2.31%,17906.09,2609.45,14.36,2025-08
521,2025-08-27 19:00:00,2025-08-27 19:00:00,LONG,4613.33,4575.29,4576.2,-0.825,-504.55,44.62,0.92,18087.73,-2.47%,17401.54,2535.93,16.69,2025-08
522,2025-08-28 04:30:00,2025-08-28 04:30:00,SHORT,4575.29,4563.86,4562.95,0.25,92.11,43.41,0.91,18179.84,0.75%,17493.65,2549.35,16.26,2025-08
523,2025-08-28 13:45:00,2025-08-28 13:45:00,LONG,4563.86,4574.02,4574.93,0.223,77.76,43.63,0.91,18257.6,0.67%,17571.41,2560.68,15.9,2025-08
524,2025-08-28 14:00:00,2025-08-28 14:00:00,SHORT,4574.02,4592.15,4591.23,-0.396,-260.92,43.82,0.92,17996.68,-1.19%,17310.49,2522.66,17.11,2025-08
525,2025-08-28 14:15:00,2025-08-28 14:15:00,LONG,4592.15,4564.05,4564.97,-0.612,-373.5,43.19,0.91,17623.18,-1.84%,16936.99,2468.23,18.83,2025-08
526,2025-08-29 21:30:00,2025-08-29 21:30:00,SHORT,4564.05,4356.23,4355.36,4.554,2365.12,42.3,0.87,19988.3,13.66%,19302.11,2812.9,7.93,2025-08
527,2025-08-30 00:00:00,2025-08-30 00:00:00,LONG,4356.23,4348.86,4349.73,-0.169,-149.49,47.97,0.87,19838.81,-0.51%,19152.62,2791.11,8.62,2025-08
528,2025-08-30 03:15:00,2025-08-30 03:15:00,SHORT,4348.86,4341.09,4340.22,0.179,58.67,47.61,0.87,19897.48,0.54%,19211.29,2799.66,8.35,2025-08
529,2025-08-30 12:15:00,2025-08-30 12:15:00,LONG,4341.09,4375.46,4376.34,0.792,424.92,47.75,0.88,20322.4,2.38%,19636.21,2861.59,6.39,2025-08
530,2025-08-30 15:15:00,2025-08-30 15:15:00,SHORT,4375.46,4375.39,4374.52,0.002,-47.8,48.77,0.87,20274.6,0.0%,19588.41,2854.62,6.61,2025-08
531,2025-08-30 16:00:00,2025-08-30 16:00:00,LONG,4375.39,4366.14,4367.01,-0.212,-177.31,48.66,0.87,20097.28,-0.63%,19411.1,2828.78,7.43,2025-08
532,2025-08-30 17:00:00,2025-08-30 17:00:00,SHORT,4366.14,4371.91,4371.04,-0.132,-127.97,48.23,0.87,19969.32,-0.4%,19283.13,2810.13,8.02,2025-08
533,2025-08-30 17:30:00,2025-08-30 17:30:00,LONG,4371.91,4356.07,4356.94,-0.362,-265.08,47.93,0.87,19704.24,-1.09%,19018.05,2771.5,9.24,2025-08
534,2025-08-30 23:00:00,2025-08-30 23:00:00,SHORT,4356.07,4366.28,4365.41,-0.234,-185.88,47.29,0.87,19518.36,-0.7%,18832.17,2744.41,10.1,2025-08
535,2025-08-31 19:45:00,2025-08-31 19:45:00,LONG,4366.28,4467.92,4468.81,2.328,1316.21,46.84,0.89,20834.58,6.98%,20148.38,2936.23,4.03,2025-08
536,2025-08-31 21:00:00,2025-08-31 21:00:00,SHORT,4467.92,4466.09,4465.2,0.041,-24.41,50.0,0.89,20810.16,0.12%,20123.97,2932.67,4.15,2025-08
537,2025-08-31 22:30:00,2025-08-31 22:30:00,LONG,4466.09,4458.77,4459.66,-0.164,-152.21,49.94,0.89,20657.96,-0.49%,19971.76,2910.49,4.85,2025-08
538,2025-09-01 07:15:00,2025-09-01 07:15:00,SHORT,4458.77,4395.21,4394.33,1.426,833.92,49.58,0.88,21491.88,4.28%,20805.68,3032.01,1.01,2025-09
539,2025-09-01 10:30:00,2025-09-01 10:30:00,LONG,4395.21,4416.95,4417.83,0.495,267.31,51.58,0.88,21759.18,1.48%,21072.99,3070.97,0.0,2025-09
540,2025-09-02 01:30:00,2025-09-02 01:30:00,SHORT,4416.95,4325.93,4325.07,2.061,1292.87,52.22,0.87,23052.05,6.18%,22365.86,3259.38,0.0,2025-09
541,2025-09-02 11:45:00,2025-09-02 11:45:00,LONG,4325.93,4364.11,4364.98,0.883,555.02,55.32,0.87,23607.07,2.65%,22920.88,3340.26,0.0,2025-09
542,2025-09-02 13:45:00,2025-09-02 13:45:00,SHORT,4364.11,4375.32,4374.44,-0.257,-238.48,56.66,0.87,23368.59,-0.77%,22682.4,3305.51,1.01,2025-09
543,2025-09-02 14:00:00,2025-09-02 14:00:00,LONG,4375.32,4345.72,4346.59,-0.676,-530.29,56.08,0.87,22838.3,-2.03%,22152.11,3228.23,3.26,2025-09
544,2025-09-02 21:30:00,2025-09-02 21:30:00,SHORT,4345.72,4326.81,4325.94,0.435,243.35,54.81,0.87,23081.65,1.31%,22395.46,3263.69,2.23,2025-09
545,2025-09-02 23:15:00,2025-09-02 23:15:00,LONG,4326.81,4319.8,4320.67,-0.162,-167.49,55.4,0.86,22914.16,-0.49%,22227.97,3239.28,2.94,2025-09
546,2025-09-03 00:15:00,2025-09-03 00:15:00,SHORT,4319.8,4330.34,4329.48,-0.244,-222.69,54.99,0.87,22691.47,-0.73%,22005.28,3206.83,3.88,2025-09
547,2025-09-03 00:30:00,2025-09-03 00:30:00,LONG,4330.34,4315.61,4316.48,-0.34,-286.0,54.46,0.86,22405.47,-1.02%,21719.28,3165.15,5.09,2025-09
548,2025-09-03 01:45:00,2025-09-03 01:45:00,SHORT,4315.61,4302.48,4301.62,0.304,150.77,53.77,0.86,22556.24,0.91%,21870.05,3187.12,4.45,2025-09
549,2025-09-03 04:00:00,2025-09-03 04:00:00,LONG,4302.48,4323.52,4324.39,0.489,276.78,54.13,0.86,22833.03,1.47%,22146.83,3227.46,3.28,2025-09
550,2025-09-03 04:15:00,2025-09-03 04:15:00,SHORT,4323.52,4332.84,4331.98,-0.216,-202.5,54.8,0.87,22630.53,-0.65%,21944.33,3197.95,4.14,2025-09
551,2025-09-03 05:45:00,2025-09-03 05:45:00,LONG,4332.84,4312.94,4313.81,-0.459,-366.15,54.31,0.86,22264.38,-1.38%,21578.18,3144.59,5.69,2025-09
552,2025-09-03 08:00:00,2025-09-03 08:00:00,SHORT,4312.94,4322.81,4321.95,-0.229,-206.27,53.43,0.86,22058.11,-0.69%,21371.91,3114.53,6.56,2025-09
553,2025-09-03 08:45:00,2025-09-03 08:45:00,LONG,4322.81,4315.16,4316.02,-0.177,-170.08,52.94,0.86,21888.03,-0.53%,21201.83,3089.74,7.28,2025-09
554,2025-09-03 09:15:00,2025-09-03 09:15:00,SHORT,4315.16,4318.24,4317.38,-0.071,-99.43,52.53,0.86,21788.61,-0.21%,21102.4,3075.26,7.7,2025-09
555,2025-09-04 02:15:00,2025-09-04 02:15:00,LONG,4318.24,4449.31,4450.2,3.035,1931.72,52.29,0.89,23720.33,9.11%,23034.12,3356.77,0.0,2025-09
556,2025-09-04 10:00:00,2025-09-04 10:00:00,SHORT,4449.31,4405.23,4404.35,0.991,648.15,56.93,0.88,24368.48,2.97%,23682.27,3451.22,0.0,2025-09
557,2025-09-04 12:30:00,2025-09-04 12:30:00,LONG,4405.23,4399.15,4400.03,-0.138,-159.26,58.48,0.88,24209.21,-0.41%,23523.01,3428.01,0.65,2025-09
558,2025-09-04 12:45:00,2025-09-04 12:45:00,SHORT,4399.15,4409.74,4408.85,-0.241,-232.83,58.1,0.88,23976.39,-0.72%,23290.18,3394.08,1.61,2025-09
559,2025-09-04 13:30:00,2025-09-04 13:30:00,LONG,4409.74,4379.6,4380.48,-0.683,-549.05,57.54,0.88,23427.34,-2.05%,22741.13,3314.07,3.86,2025-09
560,2025-09-04 22:45:00,2025-09-04 22:45:00,SHORT,4379.6,4328.63,4327.76,1.164,761.79,56.23,0.87,24189.13,3.49%,23502.92,3425.08,0.74,2025-09
561,2025-09-04 23:30:00,2025-09-04 23:30:00,LONG,4328.63,4318.71,4319.58,-0.229,-224.33,58.05,0.86,23964.8,-0.69%,23278.59,3392.39,1.66,2025-09
562,2025-09-05 01:30:00,2025-09-05 01:30:00,SHORT,4318.71,4333.76,4332.89,-0.348,-308.01,57.52,0.87,23656.78,-1.05%,22970.58,3347.51,2.92,2025-09
563,2025-09-05 02:15:00,2025-09-05 02:15:00,LONG,4333.76,4313.38,4314.24,-0.47,-390.54,56.78,0.86,23266.25,-1.41%,22580.04,3290.59,4.52,2025-09
564,2025-09-05 02:45:00,2025-09-05 02:45:00,SHORT,4313.38,4324.57,4323.7,-0.259,-236.87,55.84,0.86,23029.38,-0.78%,22343.17,3256.07,5.5,2025-09
565,2025-09-05 03:00:00,2025-09-05 03:00:00,LONG,4324.57,4309.22,4310.09,-0.355,-300.37,55.27,0.86,22729.01,-1.06%,22042.8,3212.3,6.73,2025-09
566,2025-09-05 03:45:00,2025-09-05 03:45:00,SHORT,4309.22,4328.99,4328.12,-0.459,-367.25,54.55,0.87,22361.76,-1.38%,21675.55,3158.78,8.23,2025-09
567,2025-09-05 14:15:00,2025-09-05 14:15:00,LONG,4328.99,4376.94,4377.82,1.108,689.55,53.67,0.88,23051.32,3.32%,22365.1,3259.27,5.41,2025-09
568,2025-09-05 20:30:00,2025-09-05 20:30:00,SHORT,4376.94,4337.44,4336.57,0.903,568.88,55.32,0.87,23620.2,2.71%,22933.98,3342.17,3.07,2025-09
569,2025-09-05 21:00:00,2025-09-05 21:00:00,LONG,4337.44,4328.71,4329.58,-0.201,-199.26,56.69,0.87,23420.93,-0.6%,22734.72,3313.13,3.89,2025-09
570,2025-09-06 02:45:00,2025-09-06 02:45:00,SHORT,4328.71,4320.26,4319.4,0.195,80.93,56.21,0.86,23501.86,0.59%,22815.65,3324.93,3.56,2025-09
571,2025-09-06 04:00:00,2025-09-06 04:00:00,LONG,4320.26,4314.53,4315.39,-0.133,-150.01,56.4,0.86,23351.86,-0.4%,22665.64,3303.07,4.17,2025-09
572,2025-09-06 21:45:00,2025-09-06 21:45:00,SHORT,4314.53,4278.66,4277.8,0.831,526.35,56.04,0.86,23878.2,2.49%,23191.99,3379.77,2.01,2025-09
573,2025-09-06 22:00:00,2025-09-06 22:00:00,LONG,4278.66,4276.45,4277.3,-0.052,-94.33,57.31,0.86,23783.88,-0.16%,23097.66,3366.03,2.4,2025-09
574,2025-09-07 00:30:00,2025-09-07 00:30:00,SHORT,4276.45,4280.08,4279.22,-0.085,-117.63,57.08,0.86,23666.25,-0.25%,22980.03,3348.89,2.88,2025-09
575,2025-09-07 06:30:00,2025-09-07 06:30:00,LONG,4280.08,4285.81,4286.66,0.134,38.28,56.8,0.86,23704.53,0.4%,23018.31,3354.46,2.72,2025-09
576,2025-09-07 07:15:00,2025-09-07 07:15:00,SHORT,4285.81,4291.51,4290.65,-0.133,-151.5,56.89,0.86,23553.03,-0.4%,22866.81,3332.39,3.35,2025-09
577,2025-09-07 12:15:00,2025-09-07 12:15:00,LONG,4291.51,4294.86,4295.72,0.078,-1.37,56.53,0.86,23551.66,0.23%,22865.44,3332.19,3.35,2025-09
578,2025-09-07 12:30:00,2025-09-07 12:30:00,SHORT,4294.86,4302.3,4301.44,-0.173,-178.93,56.52,0.86,23372.74,-0.52%,22686.51,3306.11,4.09,2025-09
579,2025-09-07 16:00:00,2025-09-07 16:00:00,LONG,4302.3,4292.52,4293.38,-0.227,-215.42,56.09,0.86,23157.31,-0.68%,22471.09,3274.72,4.97,2025-09
580,2025-09-07 19:30:00,2025-09-07 19:30:00,SHORT,4292.52,4289.32,4288.46,0.075,-3.66,55.58,0.86,23153.65,0.22%,22467.43,3274.18,4.99,2025-09
581,2025-09-07 20:00:00,2025-09-07 20:00:00,LONG,4289.32,4285.62,4286.48,-0.086,-115.37,55.57,0.86,23038.28,-0.26%,22352.06,3257.37,5.46,2025-09
582,2025-09-07 20:45:00,2025-09-07 20:45:00,SHORT,4285.62,4294.65,4293.79,-0.211,-200.78,55.29,0.86,22837.49,-0.63%,22151.28,3228.11,6.28,2025-09
583,2025-09-07 21:15:00,2025-09-07 21:15:00,LONG,4294.65,4289.12,4289.97,-0.129,-143.01,54.81,0.86,22694.48,-0.39%,22008.27,3207.27,6.87,2025-09
584,2025-09-07 22:00:00,2025-09-07 22:00:00,SHORT,4289.12,4296.07,4295.22,-0.162,-164.92,54.47,0.86,22529.57,-0.49%,21843.35,3183.24,7.55,2025-09
585,2025-09-08 02:15:00,2025-09-08 02:15:00,LONG,4296.07,4282.85,4283.7,-0.308,-262.19,54.07,0.86,22267.37,-0.92%,21581.16,3145.03,8.62,2025-09
586,2025-09-08 02:30:00,2025-09-08 02:30:00,SHORT,4282.85,4296.53,4295.68,-0.32,-266.96,53.44,0.86,22000.42,-0.96%,21314.2,3106.12,9.72,2025-09
587,2025-09-08 05:30:00,2025-09-08 05:30:00,LONG,4296.53,4289.67,4290.53,-0.16,-158.29,52.8,0.86,21842.13,-0.48%,21155.91,3083.06,10.37,2025-09
588,2025-09-08 06:15:00,2025-09-08 06:15:00,SHORT,4289.67,4301.45,4300.59,-0.275,-232.35,52.42,0.86,21609.77,-0.82%,20923.56,3049.19,11.32,2025-09
589,2025-09-08 06:45:00,2025-09-08 06:45:00,LONG,4301.45,4293.08,4293.94,-0.194,-177.94,51.86,0.86,21431.84,-0.58%,20745.62,3023.26,12.05,2025-09
590,2025-09-08 07:15:00,2025-09-08 07:15:00,SHORT,4293.08,4305.58,4304.72,-0.291,-238.67,51.44,0.86,21193.17,-0.87%,20506.95,2988.48,13.03,2025-09
591,2025-09-08 07:30:00,2025-09-08 07:30:00,LONG,4305.58,4297.87,4298.73,-0.179,-164.7,50.86,0.86,21028.47,-0.54%,20342.25,2964.48,13.71,2025-09
592,2025-09-08 08:30:00,2025-09-08 08:30:00,SHORT,4297.87,4304.0,4303.14,-0.142,-140.35,50.47,0.86,20888.12,-0.43%,20201.9,2944.03,14.28,2025-09
593,2025-09-08 11:15:00,2025-09-08 11:15:00,LONG,4304.0,4309.34,4310.2,0.124,27.61,50.13,0.86,20915.74,0.37%,20229.51,2948.05,14.17,2025-09
594,2025-09-08 11:45:00,2025-09-08 11:45:00,SHORT,4309.34,4317.26,4316.39,-0.184,-165.52,50.2,0.86,20750.22,-0.55%,20063.99,2923.93,14.85,2025-09
595,2025-09-08 17:30:00,2025-09-08 17:30:00,LONG,4317.26,4326.95,4327.82,0.225,89.99,49.8,0.87,20840.22,0.67%,20153.98,2937.05,14.48,2025-09
596,2025-09-08 21:45:00,2025-09-08 21:45:00,SHORT,4326.95,4319.28,4318.42,0.177,60.82,50.02,0.86,20901.03,0.53%,20214.8,2945.91,14.23,2025-09
597,2025-09-08 22:30:00,2025-09-08 22:30:00,LONG,4319.28,4309.55,4310.41,-0.225,-191.5,50.16,0.86,20709.54,-0.68%,20023.3,2918.0,15.02,2025-09
598,2025-09-09 04:15:00,2025-09-09 04:15:00,SHORT,4309.55,4311.31,4310.45,-0.041,-75.19,49.7,0.86,20634.34,-0.12%,19948.11,2907.04,15.32,2025-09
599,2025-09-09 05:00:00,2025-09-09 05:00:00,LONG,4311.31,4306.04,4306.9,-0.122,-125.25,49.52,0.86,20509.09,-0.37%,19822.86,2888.79,15.84,2025-09
600,2025-09-09 05:45:00,2025-09-09 05:45:00,SHORT,4306.04,4317.96,4317.09,-0.277,-219.51,49.22,0.86,20289.58,-0.83%,19603.35,2856.8,16.74,2025-09
601,2025-09-09 13:00:00,2025-09-09 13:00:00,LONG,4317.96,4332.25,4333.12,0.331,152.84,48.69,0.87,20442.42,0.99%,19756.19,2879.08,16.11,2025-09
602,2025-09-09 13:30:00,2025-09-09 13:30:00,SHORT,4332.25,4355.43,4354.56,-0.535,-377.14,49.06,0.87,20065.27,-1.6%,19379.05,2824.11,17.66,2025-09
603,2025-09-09 14:15:00,2025-09-09 14:15:00,LONG,4355.43,4315.17,4316.03,-0.924,-604.59,48.16,0.86,19460.69,-2.77%,18774.46,2736.01,20.14,2025-09
604,2025-09-09 21:00:00,2025-09-09 21:00:00,SHORT,4315.17,4313.45,4312.58,0.04,-23.36,46.71,0.86,19437.32,0.12%,18751.1,2732.6,20.24,2025-09
605,2025-09-09 21:15:00,2025-09-09 21:15:00,LONG,4313.45,4303.57,4304.43,-0.229,-180.11,46.65,0.86,19257.21,-0.69%,18570.99,2706.36,20.97,2025-09
606,2025-09-09 22:00:00,2025-09-09 22:00:00,SHORT,4303.57,4316.19,4315.33,-0.293,-215.58,46.22,0.86,19041.64,-0.88%,18355.41,2674.94,21.86,2025-09
607,2025-09-09 23:15:00,2025-09-09 23:15:00,LONG,4316.19,4305.03,4305.89,-0.259,-193.41,45.7,0.86,18848.23,-0.78%,18162.0,2646.75,22.65,2025-09
608,2025-09-09 23:30:00,2025-09-09 23:30:00,SHORT,4305.03,4314.45,4313.59,-0.219,-168.99,45.24,0.86,18679.24,-0.66%,17993.01,2622.13,23.35,2025-09
609,2025-09-10 00:15:00,2025-09-10 00:15:00,LONG,4314.45,4304.05,4304.91,-0.241,-179.91,44.83,0.86,18499.33,-0.72%,17813.1,2595.91,24.09,2025-09
610,2025-09-10 02:00:00,2025-09-10 02:00:00,SHORT,4304.05,4312.62,4311.76,-0.199,-154.9,44.4,0.86,18344.43,-0.6%,17658.2,2573.34,24.72,2025-09
611,2025-09-10 05:45:00,2025-09-10 05:45:00,LONG,4312.62,4308.37,4309.23,-0.099,-98.26,44.03,0.86,18246.17,-0.3%,17559.94,2559.02,25.12,2025-09
612,2025-09-10 06:15:00,2025-09-10 06:15:00,SHORT,4308.37,4310.53,4309.67,-0.05,-71.3,43.79,0.86,18174.87,-0.15%,17488.64,2548.63,25.42,2025-09
613,2025-09-10 17:15:00,2025-09-10 17:15:00,LONG,4310.53,4376.14,4377.02,1.522,786.22,43.62,0.88,18961.09,4.57%,18274.86,2663.2,22.19,2025-09
614,2025-09-10 21:30:00,2025-09-10 21:30:00,SHORT,4376.14,4341.9,4341.04,0.782,399.51,45.51,0.87,19360.6,2.35%,18674.37,2721.42,20.55,2025-09
615,2025-09-11 00:00:00,2025-09-11 00:00:00,LONG,4341.9,4341.74,4342.61,-0.004,-48.69,46.47,0.87,19311.91,-0.01%,18625.68,2714.33,20.75,2025-09
616,2025-09-11 00:15:00,2025-09-11 00:15:00,SHORT,4341.74,4346.82,4345.95,-0.117,-114.17,46.35,0.87,19197.74,-0.35%,18511.51,2697.69,21.22,2025-09
617,2025-09-11 00:30:00,2025-09-11 00:30:00,LONG,4346.82,4340.33,4341.2,-0.149,-132.0,46.07,0.87,19065.75,-0.45%,18379.51,2678.45,21.76,2025-09
618,2025-09-11 00:45:00,2025-09-11 00:45:00,SHORT,4340.33,4354.75,4353.88,-0.332,-235.67,45.76,0.87,18830.08,-1.0%,18143.84,2644.11,22.73,2025-09
619,2025-09-11 13:00:00,2025-09-11 13:00:00,LONG,4354.75,4387.66,4388.54,0.756,381.81,45.19,0.88,19211.89,2.27%,18525.65,2699.75,21.16,2025-09
620,2025-09-11 13:45:00,2025-09-11 13:45:00,SHORT,4387.66,4440.39,4439.5,-1.202,-738.72,46.11,0.89,18473.17,-3.61%,17786.93,2592.1,24.19,2025-09
621,2025-09-11 14:00:00,2025-09-11 14:00:00,LONG,4440.39,4409.59,4410.47,-0.694,-428.71,44.34,0.88,18044.46,-2.08%,17358.22,2529.62,25.95,2025-09
622,2025-09-11 14:30:00,2025-09-11 14:30:00,SHORT,4409.59,4432.05,4431.16,-0.509,-318.96,43.31,0.89,17725.51,-1.53%,17039.26,2483.14,27.26,2025-09
623,2025-09-11 18:15:00,2025-09-11 18:15:00,LONG,4432.05,4413.91,4414.8,-0.409,-260.11,42.54,0.88,17465.39,-1.23%,16779.15,2445.23,28.33,2025-09
624,2025-09-11 19:15:00,2025-09-11 19:15:00,SHORT,4413.91,4424.43,4423.54,-0.238,-166.73,41.92,0.88,17298.67,-0.71%,16612.42,2420.94,29.01,2025-09
625,2025-09-11 20:00:00,2025-09-11 20:00:00,LONG,4424.43,4415.32,4416.21,-0.206,-148.29,41.52,0.88,17150.38,-0.62%,16464.13,2399.33,29.62,2025-09
626,2025-09-11 20:15:00,2025-09-11 20:15:00,SHORT,4415.32,4424.5,4423.62,-0.208,-148.12,41.16,0.88,17002.25,-0.62%,16316.01,2377.74,30.23,2025-09
627,2025-09-13 13:45:00,2025-09-13 13:45:00,LONG,4424.5,4704.16,4705.1,6.321,3183.17,40.81,0.94,20185.42,18.96%,19499.18,2841.62,17.17,2025-09
628,2025-09-13 23:45:00,2025-09-13 23:45:00,SHORT,4704.16,4666.68,4665.75,0.797,434.06,48.45,0.93,20619.49,2.39%,19933.24,2904.88,15.38,2025-09
629,2025-09-14 01:00:00,2025-09-14 01:00:00,LONG,4666.68,4660.2,4661.14,-0.139,-135.32,49.49,0.93,20484.17,-0.42%,19797.92,2885.16,15.94,2025-09
630,2025-09-14 01:45:00,2025-09-14 01:45:00,SHORT,4660.2,4676.05,4675.11,-0.34,-258.09,49.16,0.94,20226.08,-1.02%,19539.83,2847.55,17.0,2025-09
631,2025-09-14 03:45:00,2025-09-14 03:45:00,LONG,4676.05,4663.68,4664.61,-0.264,-209.01,48.54,0.93,20017.06,-0.79%,19330.82,2817.09,17.86,2025-09
632,2025-09-14 05:00:00,2025-09-14 05:00:00,SHORT,4663.68,4670.21,4669.27,-0.14,-132.09,48.04,0.93,19884.97,-0.42%,19198.73,2797.84,18.4,2025-09
633,2025-09-14 06:30:00,2025-09-14 06:30:00,LONG,4670.21,4663.79,4664.72,-0.137,-129.7,47.72,0.93,19755.28,-0.41%,19069.03,2778.94,18.93,2025-09
634,2025-09-14 09:15:00,2025-09-14 09:15:00,SHORT,4663.79,4669.45,4668.52,-0.121,-119.32,47.41,0.93,19635.96,-0.36%,18949.71,2761.55,19.42,2025-09
635,2025-09-14 11:15:00,2025-09-14 11:15:00,LONG,4669.45,4656.84,4657.77,-0.27,-206.2,47.13,0.93,19429.76,-0.81%,18743.51,2731.5,20.27,2025-09
636,2025-09-14 20:00:00,2025-09-14 20:00:00,SHORT,4656.84,4625.65,4624.73,0.67,343.75,46.63,0.92,19773.51,2.01%,19087.26,2781.6,18.86,2025-09
637,2025-09-14 20:45:00,2025-09-14 20:45:00,LONG,4625.65,4615.39,4616.31,-0.222,-179.11,47.46,0.92,19594.4,-0.67%,18908.15,2755.49,19.59,2025-09
638,2025-09-14 21:30:00,2025-09-14 21:30:00,SHORT,4615.39,4624.55,4623.63,-0.199,-163.74,47.03,0.92,19430.66,-0.6%,18744.41,2731.63,20.26,2025-09
639,2025-09-14 22:00:00,2025-09-14 22:00:00,LONG,4624.55,4618.51,4619.43,-0.131,-122.82,46.63,0.92,19307.84,-0.39%,18621.59,2713.73,20.77,2025-09
640,2025-09-14 22:30:00,2025-09-14 22:30:00,SHORT,4618.51,4631.7,4630.78,-0.286,-211.83,46.34,0.93,19096.01,-0.86%,18409.76,2682.86,21.64,2025-09
641,2025-09-14 23:00:00,2025-09-14 23:00:00,LONG,4631.7,4619.05,4619.98,-0.273,-202.3,45.83,0.92,18893.72,-0.82%,18207.46,2653.38,22.47,2025-09
642,2025-09-15 03:00:00,2025-09-15 03:00:00,SHORT,4619.05,4629.6,4628.67,-0.228,-174.72,45.34,0.93,18718.99,-0.68%,18032.74,2627.92,23.18,2025-09
643,2025-09-15 06:45:00,2025-09-15 06:45:00,LONG,4629.6,4628.89,4629.82,-0.015,-53.49,44.93,0.93,18665.51,-0.05%,17979.25,2620.13,23.4,2025-09
644,2025-09-15 21:30:00,2025-09-15 21:30:00,SHORT,4628.89,4524.14,4523.24,2.263,1222.34,44.8,0.9,19887.85,6.79%,19201.59,2798.26,18.39,2025-09
645,2025-09-15 22:30:00,2025-09-15 22:30:00,LONG,4524.14,4511.78,4512.68,-0.273,-210.83,47.73,0.9,19677.01,-0.82%,18990.76,2767.53,19.25,2025-09
646,2025-09-15 23:15:00,2025-09-15 23:15:00,SHORT,4511.78,4528.45,4527.54,-0.37,-265.38,47.22,0.91,19411.64,-1.11%,18725.38,2728.86,20.34,2025-09
647,2025-09-16 00:00:00,2025-09-16 00:00:00,LONG,4528.45,4516.42,4517.33,-0.266,-201.25,46.59,0.9,19210.39,-0.8%,18524.13,2699.53,21.17,2025-09
648,2025-09-16 01:00:00,2025-09-16 01:00:00,SHORT,4516.42,4522.53,4521.62,-0.135,-123.99,46.1,0.9,19086.4,-0.41%,18400.14,2681.46,21.68,2025-09
649,2025-09-16 01:45:00,2025-09-16 01:45:00,LONG,4522.53,4517.51,4518.41,-0.111,-109.32,45.81,0.9,18977.08,-0.33%,18290.82,2665.53,22.12,2025-09
650,2025-09-16 02:00:00,2025-09-16 02:00:00,SHORT,4517.51,4529.37,4528.46,-0.263,-194.99,45.54,0.91,18782.08,-0.79%,18095.83,2637.11,22.92,2025-09
651,2025-09-16 04:00:00,2025-09-16 04:00:00,LONG,4529.37,4514.09,4515.0,-0.337,-235.11,45.08,0.9,18546.97,-1.01%,17860.72,2602.85,23.89,2025-09
