Trade number,Type,Date and time,Signal,Price USDT,Size (qty),Size (value),Net PnL USDT,Net PnL %,Favorable excursion USDT,Favorable excursion %,Adverse excursion USDT,Adverse excursion %,Cumulative PnL USDT,Cumulative PnL %
262,Exit short,2026-03-17 01:15,long,2300.63,0.8795,1999.87746,-23.53,-1.18,3.41,0.17,-30.2,-1.51,340.45,0.03
262,Entry short,2026-03-16 23:45,short,2273.88,0.8795,1999.87746,-23.53,-1.18,3.41,0.17,-30.2,-1.51,340.45,0.03
263,Exit long,2026-03-17 07:15,short,2351.1,0.8693,1999.937659,43.87,2.19,74.23,3.71,0,0.00,384.33,0.04
263,Entry long,2026-03-17 01:15,long,2300.63,0.8693,1999.937659,43.87,2.19,74.23,3.71,0,0.00,384.33,0.04
264,Exit short,2026-03-17 08:00,long,2367.31,0.8506,1999.84566,-13.79,-0.69,9.26,0.46,-20.11,-1.01,370.54,0.04
264,Entry short,2026-03-17 07:15,short,2351.1,0.8506,1999.84566,-13.79,-0.69,9.26,0.46,-20.11,-1.01,370.54,0.04
265,Exit long,2026-03-17 10:15,short,2347.92,0.8448,1999.903488,-16.38,-0.82,7.9,0.39,-21.27,-1.06,354.16,0.04
265,Entry long,2026-03-17 08:00,long,2367.31,0.8448,1999.903488,-16.38,-0.82,7.9,0.39,-21.27,-1.06,354.16,0.04
266,Exit short,2026-03-17 15:30,long,2331.03,0.8518,1999.958256,14.39,0.72,45.8,2.29,-11.64,-0.58,368.54,0.04
266,Entry short,2026-03-17 10:15,short,2347.92,0.8518,1999.958256,14.39,0.72,45.8,2.29,-11.64,-0.58,368.54,0.04
267,Exit long,2026-03-17 18:30,short,2310.24,0.8579,1999.790637,-17.84,-0.89,3.71,0.19,-23.19,-1.16,350.71,0.04
267,Entry long,2026-03-17 15:30,long,2331.03,0.8579,1999.790637,-17.84,-0.89,3.71,0.19,-23.19,-1.16,350.71,0.04
268,Exit short,2026-03-17 19:15,long,2328.41,0.8657,1999.974768,-15.73,-0.79,3.11,0.16,-19.34,-0.97,334.98,0.03
268,Entry short,2026-03-17 18:30,short,2310.24,0.8657,1999.974768,-15.73,-0.79,3.11,0.16,-19.34,-0.97,334.98,0.03
269,Exit long,2026-03-17 20:45,short,2315.42,0.8589,1999.871349,-11.16,-0.56,5.66,0.28,-13.43,-0.67,323.82,0.03
269,Entry long,2026-03-17 19:15,long,2328.41,0.8589,1999.871349,-11.16,-0.56,5.66,0.28,-13.43,-0.67,323.82,0.03
270,Exit short,2026-03-17 22:15,long,2333.95,0.8637,1999.828254,-16,-0.80,1.74,0.09,-26.83,-1.34,307.82,0.03
270,Entry short,2026-03-17 20:45,short,2315.42,0.8637,1999.828254,-16,-0.80,1.74,0.09,-26.83,-1.34,307.82,0.03
271,Exit long,2026-03-17 23:45,short,2315.98,0.8569,1999.961755,-15.4,-0.77,20.38,1.02,-25.43,-1.27,292.42,0.03
271,Entry long,2026-03-17 22:15,long,2333.95,0.8569,1999.961755,-15.4,-0.77,20.38,1.02,-25.43,-1.27,292.42,0.03
272,Exit short,2026-03-18 00:30,long,2326,0.8635,1999.84873,-8.65,-0.43,3.06,0.15,-18.12,-0.91,283.77,0.03
272,Entry short,2026-03-17 23:45,short,2315.98,0.8635,1999.84873,-8.65,-0.43,3.06,0.15,-18.12,-0.91,283.77,0.03
273,Exit long,2026-03-18 01:15,short,2329.2,0.8598,1999.8948,2.75,0.14,8.12,0.41,-4.64,-0.23,286.52,0.03
273,Entry long,2026-03-18 00:30,long,2326,0.8598,1999.8948,2.75,0.14,8.12,0.41,-4.64,-0.23,286.52,0.03
274,Exit short,2026-03-18 02:00,long,2338.56,0.8586,1999.85112,-8.04,-0.40,2.83,0.14,-11.59,-0.58,278.48,0.03
274,Entry short,2026-03-18 01:15,short,2329.2,0.8586,1999.85112,-8.04,-0.40,2.83,0.14,-11.59,-0.58,278.48,0.03
275,Exit long,2026-03-18 04:15,short,2329.22,0.8552,1999.936512,-7.99,-0.40,2.58,0.13,-18.44,-0.92,270.49,0.03
275,Entry long,2026-03-18 02:00,long,2338.56,0.8552,1999.936512,-7.99,-0.40,2.58,0.13,-18.44,-0.92,270.49,0.03
276,Exit short,2026-03-18 05:45,long,2338.45,0.8586,1999.868292,-7.92,-0.40,4.3,0.22,-13.28,-0.66,262.57,0.03
276,Entry short,2026-03-18 04:15,short,2329.22,0.8586,1999.868292,-7.92,-0.40,4.3,0.22,-13.28,-0.66,262.57,0.03
277,Exit long,2026-03-18 06:30,short,2324.76,0.8552,1999.84244,-11.71,-0.59,3.13,0.16,-17.16,-0.86,250.86,0.03
277,Entry long,2026-03-18 05:45,long,2338.45,0.8552,1999.84244,-11.71,-0.59,3.13,0.16,-17.16,-0.86,250.86,0.03
278,Exit short,2026-03-18 09:30,long,2330.35,0.8603,1999.991028,-4.81,-0.24,15.28,0.76,-9.09,-0.45,246.05,0.02
278,Entry short,2026-03-18 06:30,short,2324.76,0.8603,1999.991028,-4.81,-0.24,15.28,0.76,-9.09,-0.45,246.05,0.02
279,Exit long,2026-03-18 12:30,short,2329.99,0.8582,1999.90637,-0.31,-0.02,16.86,0.84,-6.16,-0.31,245.74,0.02
279,Entry long,2026-03-18 09:30,long,2330.35,0.8582,1999.90637,-0.31,-0.02,16.86,0.84,-6.16,-0.31,245.74,0.02
280,Exit short,2026-03-18 17:00,long,2328.34,0.8583,1999.830417,1.42,0.07,15.84,0.79,-1.01,-0.05,247.16,0.02
280,Entry short,2026-03-18 12:30,short,2329.99,0.8583,1999.830417,1.42,0.07,15.84,0.79,-1.01,-0.05,247.16,0.02
281,Exit long,2026-03-18 19:15,short,2295.16,0.8589,1999.811226,-28.5,-1.43,4.53,0.23,-30.53,-1.53,218.66,0.02
281,Entry long,2026-03-18 17:00,long,2328.34,0.8589,1999.811226,-28.5,-1.43,4.53,0.23,-30.53,-1.53,218.66,0.02
282,Exit short,2026-03-19 02:00,long,2215.03,0.8713,1999.772908,69.82,3.49,111.78,5.59,-2.65,-0.13,288.48,0.03
282,Entry short,2026-03-18 19:15,short,2295.16,0.8713,1999.772908,69.82,3.49,111.78,5.59,-2.65,-0.13,288.48,0.03
283,Exit long,2026-03-19 04:15,short,2176.68,0.9029,1999.950587,-34.63,-1.73,0,0.00,-55.82,-2.79,253.85,0.03
283,Entry long,2026-03-19 02:00,long,2215.03,0.9029,1999.950587,-34.63,-1.73,0,0.00,-55.82,-2.79,253.85,0.03
284,Exit short,2026-03-19 05:00,long,2189.01,0.9188,1999.933584,-11.33,-0.57,0.61,0.03,-16.83,-0.84,242.52,0.02
284,Entry short,2026-03-19 04:15,short,2176.68,0.9188,1999.933584,-11.33,-0.57,0.61,0.03,-16.83,-0.84,242.52,0.02
285,Exit long,2026-03-19 08:45,short,2193.34,0.9136,1999.879536,3.96,0.20,17.61,0.88,-1.31,-0.07,246.48,0.02
285,Entry long,2026-03-19 05:00,long,2189.01,0.9136,1999.879536,3.96,0.20,17.61,0.88,-1.31,-0.07,246.48,0.02
286,Exit short,2026-03-19 10:15,long,2202.08,0.9118,1999.887412,-7.97,-0.40,5.56,0.28,-9.44,-0.47,238.51,0.02
286,Entry short,2026-03-19 08:45,short,2193.34,0.9118,1999.887412,-7.97,-0.40,5.56,0.28,-9.44,-0.47,238.51,0.02
287,Exit long,2026-03-19 11:00,short,2205.38,0.9082,1999.929056,3,0.15,4.47,0.22,-5.42,-0.27,241.51,0.02
287,Entry long,2026-03-19 10:15,long,2202.08,0.9082,1999.929056,3,0.15,4.47,0.22,-5.42,-0.27,241.51,0.02
288,Exit short,2026-03-19 11:45,long,2212.29,0.9068,1999.838584,-6.27,-0.31,0.23,0.01,-25.7,-1.29,235.24,0.02
288,Entry short,2026-03-19 11:00,short,2205.38,0.9068,1999.838584,-6.27,-0.31,0.23,0.01,-25.7,-1.29,235.24,0.02
289,Exit long,2026-03-19 12:30,short,2194.52,0.904,1999.91016,-16.06,-0.80,0.74,0.04,-19.4,-0.97,219.18,0.02
289,Entry long,2026-03-19 11:45,long,2212.29,0.904,1999.91016,-16.06,-0.80,0.74,0.04,-19.4,-0.97,219.18,0.02
290,Exit short,2026-03-19 17:45,long,2189.42,0.9113,1999.866076,4.65,0.23,46.82,2.34,-3.63,-0.18,223.82,0.02
290,Entry short,2026-03-19 12:30,short,2194.52,0.9113,1999.866076,4.65,0.23,46.82,2.34,-3.63,-0.18,223.82,0.02
291,Exit long,2026-03-19 19:15,short,2174.75,0.9134,1999.816228,-13.4,-0.67,2.42,0.12,-19.97,-1.00,210.42,0.02
291,Entry long,2026-03-19 17:45,long,2189.42,0.9134,1999.816228,-13.4,-0.67,2.42,0.12,-19.97,-1.00,210.42,0.02
292,Exit short,2026-03-20 02:00,long,2125.86,0.9196,1999.9001,44.96,2.25,69.31,3.47,-2.6,-0.13,255.38,0.03
292,Entry short,2026-03-19 19:15,short,2174.75,0.9196,1999.9001,44.96,2.25,69.31,3.47,-2.6,-0.13,255.38,0.03
293,Exit long,2026-03-20 07:15,short,2142.6,0.9407,1999.796502,15.75,0.79,29.22,1.46,-10.87,-0.54,271.13,0.03
293,Entry long,2026-03-20 02:00,long,2125.86,0.9407,1999.796502,15.75,0.79,29.22,1.46,-10.87,-0.54,271.13,0.03
294,Exit short,2026-03-20 08:45,long,2145.6,0.9334,1999.90284,-2.8,-0.14,11.23,0.56,-5.97,-0.30,268.33,0.03
294,Entry short,2026-03-20 07:15,short,2142.6,0.9334,1999.90284,-2.8,-0.14,11.23,0.56,-5.97,-0.30,268.33,0.03
295,Exit long,2026-03-20 10:15,short,2139.09,0.9321,1999.91376,-6.07,-0.30,14.15,0.71,-7.92,-0.40,262.26,0.03
295,Entry long,2026-03-20 08:45,long,2145.6,0.9321,1999.91376,-6.07,-0.30,14.15,0.71,-7.92,-0.40,262.26,0.03
296,Exit short,2026-03-20 11:45,long,2151.38,0.9349,1999.835241,-11.49,-0.57,5.98,0.30,-16.82,-0.84,250.77,0.03
296,Entry short,2026-03-20 10:15,short,2139.09,0.9349,1999.835241,-11.49,-0.57,5.98,0.30,-16.82,-0.84,250.77,0.03
297,Exit long,2026-03-20 14:00,short,2139.08,0.9296,1999.922848,-11.43,-0.57,7.31,0.37,-13.83,-0.69,239.34,0.02
297,Entry long,2026-03-20 11:45,long,2151.38,0.9296,1999.922848,-11.43,-0.57,7.31,0.37,-13.83,-0.69,239.34,0.02
298,Exit short,2026-03-20 16:15,long,2165.27,0.9349,1999.825892,-24.49,-1.22,16.67,0.83,-35.3,-1.77,214.85,0.02
298,Entry short,2026-03-20 14:00,short,2139.08,0.9349,1999.825892,-24.49,-1.22,16.67,0.83,-35.3,-1.77,214.85,0.02
299,Exit long,2026-03-20 17:45,short,2141.21,0.9236,1999.843372,-22.22,-1.11,2.3,0.11,-28,-1.40,192.63,0.02
299,Entry long,2026-03-20 16:15,long,2165.27,0.9236,1999.843372,-22.22,-1.11,2.3,0.11,-28,-1.40,192.63,0.02
300,Exit short,2026-03-20 19:15,long,2150,0.934,1999.89014,-8.21,-0.41,9.01,0.45,-16.33,-0.82,184.42,0.02
300,Entry short,2026-03-20 17:45,short,2141.21,0.934,1999.89014,-8.21,-0.41,9.01,0.45,-16.33,-0.82,184.42,0.02
301,Exit long,2026-03-20 20:00,short,2145.86,0.9302,1999.93,-3.85,-0.19,2.55,0.13,-13.95,-0.70,180.57,0.02
301,Entry long,2026-03-20 19:15,long,2150,0.9302,1999.93,-3.85,-0.19,2.55,0.13,-13.95,-0.70,180.57,0.02
302,Exit short,2026-03-20 21:30,long,2141.09,0.932,1999.94152,4.45,0.22,21.14,1.06,-6.32,-0.32,185.02,0.02
302,Entry short,2026-03-20 20:00,short,2145.86,0.932,1999.94152,4.45,0.22,21.14,1.06,-6.32,-0.32,185.02,0.02
303,Exit long,2026-03-20 22:15,short,2135.52,0.9341,1999.992169,-5.2,-0.26,2.05,0.10,-22.61,-1.13,179.81,0.02
303,Entry long,2026-03-20 21:30,long,2141.09,0.9341,1999.992169,-5.2,-0.26,2.05,0.10,-22.61,-1.13,179.81,0.02
304,Exit short,2026-03-21 00:30,long,2135.02,0.9365,1999.91448,0.47,0.02,14.23,0.71,-11.44,-0.57,180.28,0.02
304,Entry short,2026-03-20 22:15,short,2135.52,0.9365,1999.91448,0.47,0.02,14.23,0.71,-11.44,-0.57,180.28,0.02
305,Exit long,2026-03-21 01:15,short,2130.92,0.9367,1999.873234,-3.84,-0.19,5.75,0.29,-4.16,-0.21,176.44,0.02
305,Entry long,2026-03-21 00:30,long,2135.02,0.9367,1999.873234,-3.84,-0.19,5.75,0.29,-4.16,-0.21,176.44,0.02
306,Exit short,2026-03-21 02:00,long,2135.3,0.9385,1999.86842,-4.11,-0.21,10.51,0.53,-8.52,-0.43,172.33,0.02
306,Entry short,2026-03-21 01:15,short,2130.92,0.9385,1999.86842,-4.11,-0.21,10.51,0.53,-8.52,-0.43,172.33,0.02
307,Exit long,2026-03-21 02:45,short,2123.29,0.9366,1999.92198,-11.25,-0.56,0.76,0.04,-16.76,-0.84,161.08,0.02
307,Entry long,2026-03-21 02:00,long,2135.3,0.9366,1999.92198,-11.25,-0.56,0.76,0.04,-16.76,-0.84,161.08,0.02
308,Exit short,2026-03-21 04:15,long,2130.95,0.9419,1999.926851,-7.21,-0.36,5.45,0.27,-12.91,-0.65,153.87,0.02
308,Entry short,2026-03-21 02:45,short,2123.29,0.9419,1999.926851,-7.21,-0.36,5.45,0.27,-12.91,-0.65,153.87,0.02
309,Exit long,2026-03-21 10:15,short,2151.91,0.9385,1999.896575,19.67,0.98,34.77,1.74,-6.56,-0.33,173.54,0.02
309,Entry long,2026-03-21 04:15,long,2130.95,0.9385,1999.896575,19.67,0.98,34.77,1.74,-6.56,-0.33,173.54,0.02
310,Exit short,2026-03-21 11:00,long,2153.76,0.9294,1999.985154,-1.72,-0.09,1.98,0.10,-4.1,-0.20,171.82,0.02
310,Entry short,2026-03-21 10:15,short,2151.91,0.9294,1999.985154,-1.72,-0.09,1.98,0.10,-4.1,-0.20,171.82,0.02
311,Exit long,2026-03-21 11:45,short,2153.6,0.9286,1999.981536,-0.15,-0.01,0.58,0.03,-2.57,-0.13,171.67,0.02
311,Entry long,2026-03-21 11:00,long,2153.76,0.9286,1999.981536,-0.15,-0.01,0.58,0.03,-2.57,-0.13,171.67,0.02
312,Exit short,2026-03-21 12:30,long,2152.1,0.9286,1999.83296,1.39,0.07,3.01,0.15,-4.26,-0.21,173.06,0.02
312,Entry short,2026-03-21 11:45,short,2153.6,0.9286,1999.83296,1.39,0.07,3.01,0.15,-4.26,-0.21,173.06,0.02
313,Exit long,2026-03-21 13:15,short,2155.95,0.9293,1999.94653,3.58,0.18,7.34,0.37,-0.46,-0.02,176.64,0.02
313,Entry long,2026-03-21 12:30,long,2152.1,0.9293,1999.94653,3.58,0.18,7.34,0.37,-0.46,-0.02,176.64,0.02
314,Exit short,2026-03-21 14:45,long,2155.8,0.9276,1999.85922,0.14,0.01,3.4,0.17,-1.89,-0.09,176.78,0.02
314,Entry short,2026-03-21 13:15,short,2155.95,0.9276,1999.85922,0.14,0.01,3.4,0.17,-1.89,-0.09,176.78,0.02
315,Exit long,2026-03-21 16:15,short,2150.36,0.9277,1999.93566,-5.05,-0.25,5.14,0.26,-5.37,-0.27,171.73,0.02
315,Entry long,2026-03-21 14:45,long,2155.8,0.9277,1999.93566,-5.05,-0.25,5.14,0.26,-5.37,-0.27,171.73,0.02
316,Exit short,2026-03-21 17:45,long,2158.77,0.93,1999.8348,-7.82,-0.39,0.73,0.04,-8.04,-0.40,163.91,0.02
316,Entry short,2026-03-21 16:15,short,2150.36,0.93,1999.8348,-7.82,-0.39,0.73,0.04,-8.04,-0.40,163.91,0.02
317,Exit long,2026-03-21 18:30,short,2155.24,0.9264,1999.884528,-3.27,-0.16,0.69,0.03,-4.47,-0.22,160.64,0.02
317,Entry long,2026-03-21 17:45,long,2158.77,0.9264,1999.884528,-3.27,-0.16,0.69,0.03,-4.47,-0.22,160.64,0.02
318,Exit short,2026-03-21 20:00,long,2158.91,0.9279,1999.847196,-3.41,-0.17,2.08,0.10,-3.92,-0.20,157.24,0.02
318,Entry short,2026-03-21 18:30,short,2155.24,0.9279,1999.847196,-3.41,-0.17,2.08,0.10,-3.92,-0.20,157.24,0.02
319,Exit long,2026-03-21 21:30,short,2155.3,0.9263,1999.798333,-3.34,-0.17,1.58,0.08,-3.61,-0.18,153.89,0.02
319,Entry long,2026-03-21 20:00,long,2158.91,0.9263,1999.798333,-3.34,-0.17,1.58,0.08,-3.61,-0.18,153.89,0.02
320,Exit short,2026-03-21 22:15,long,2161.87,0.9279,1999.90287,-6.1,-0.30,0.28,0.01,-12.03,-0.60,147.8,0.01
320,Entry short,2026-03-21 21:30,short,2155.3,0.9279,1999.90287,-6.1,-0.30,0.28,0.01,-12.03,-0.60,147.8,0.01
321,Exit long,2026-03-21 23:00,short,2153.82,0.9251,1999.945937,-7.45,-0.37,3.08,0.15,-10.42,-0.52,140.35,0.01
321,Entry long,2026-03-21 22:15,long,2161.87,0.9251,1999.945937,-7.45,-0.37,3.08,0.15,-10.42,-0.52,140.35,0.01
322,Exit short,2026-03-22 02:45,long,2151.46,0.9285,1999.82187,2.19,0.11,10.97,0.55,-3.49,-0.17,142.54,0.01
322,Entry short,2026-03-21 23:00,short,2153.82,0.9285,1999.82187,2.19,0.11,10.97,0.55,-3.49,-0.17,142.54,0.01
323,Exit long,2026-03-22 06:30,short,2151.58,0.9296,1999.997216,0.11,0.01,5.15,0.26,-2.23,-0.11,142.65,0.01
323,Entry long,2026-03-22 02:45,long,2151.46,0.9296,1999.997216,0.11,0.01,5.15,0.26,-2.23,-0.11,142.65,0.01
324,Exit short,2026-03-22 11:00,long,2104.32,0.9295,1999.89361,43.93,2.20,94.31,4.72,0,0.00,186.58,0.02
324,Entry short,2026-03-22 06:30,short,2151.58,0.9295,1999.89361,43.93,2.20,94.31,4.72,0,0.00,186.58,0.02
325,Exit long,2026-03-22 14:45,short,2108.76,0.9504,1999.945728,4.22,0.21,21.75,1.09,-1.19,-0.06,190.8,0.02
325,Entry long,2026-03-22 11:00,long,2104.32,0.9504,1999.945728,4.22,0.21,21.75,1.09,-1.19,-0.06,190.8,0.02
326,Exit short,2026-03-22 20:45,long,2082.44,0.9484,1999.947984,24.96,1.25,39.63,1.98,-3.12,-0.16,215.76,0.02
326,Entry short,2026-03-22 14:45,short,2108.76,0.9484,1999.947984,24.96,1.25,39.63,1.98,-3.12,-0.16,215.76,0.02
327,Exit long,2026-03-22 22:15,short,2080.85,0.9604,1999.975376,-1.53,-0.08,9.79,0.49,-10.34,-0.52,214.23,0.02
327,Entry long,2026-03-22 20:45,long,2082.44,0.9604,1999.975376,-1.53,-0.08,9.79,0.49,-10.34,-0.52,214.23,0.02
328,Exit short,2026-03-22 23:45,long,2083.1,0.9611,1999.904935,-2.16,-0.11,4.98,0.25,-3.81,-0.19,212.07,0.02
328,Entry short,2026-03-22 22:15,short,2080.85,0.9611,1999.904935,-2.16,-0.11,4.98,0.25,-3.81,-0.19,212.07,0.02
329,Exit long,2026-03-23 02:00,short,2079.92,0.9601,1999.98431,-3.05,-0.15,1.3,0.06,-7.17,-0.36,209.02,0.02
329,Entry long,2026-03-22 23:45,long,2083.1,0.9601,1999.98431,-3.05,-0.15,1.3,0.06,-7.17,-0.36,209.02,0.02
330,Exit short,2026-03-23 06:30,long,2055.11,0.9615,1999.84308,23.85,1.19,51.84,2.59,-0.01,0.00,232.87,0.02
330,Entry short,2026-03-23 02:00,short,2079.92,0.9615,1999.84308,23.85,1.19,51.84,2.59,-0.01,0.00,232.87,0.02
331,Exit long,2026-03-23 08:00,short,2057.21,0.9731,1999.827541,2.04,0.10,18.54,0.93,-6.52,-0.33,234.92,0.02
331,Entry long,2026-03-23 06:30,long,2055.11,0.9731,1999.827541,2.04,0.10,18.54,0.93,-6.52,-0.33,234.92,0.02
332,Exit short,2026-03-23 09:30,long,2054.88,0.9721,1999.813841,2.26,0.11,20.92,1.05,-5.03,-0.25,237.18,0.02
332,Entry short,2026-03-23 08:00,short,2057.21,0.9721,1999.813841,2.26,0.11,20.92,1.05,-5.03,-0.25,237.18,0.02
333,Exit long,2026-03-23 10:15,short,2067.78,0.9732,1999.809216,12.55,0.63,14.95,0.75,-7.94,-0.40,249.74,0.02
333,Entry long,2026-03-23 09:30,long,2054.88,0.9732,1999.809216,12.55,0.63,14.95,0.75,-7.94,-0.40,249.74,0.02
334,Exit short,2026-03-23 11:00,long,2059.11,0.9672,1999.956816,8.39,0.42,10.29,0.51,-4.4,-0.22,258.12,0.03
334,Entry short,2026-03-23 10:15,short,2067.78,0.9672,1999.956816,8.39,0.42,10.29,0.51,-4.4,-0.22,258.12,0.03
335,Exit long,2026-03-23 11:45,short,2052.54,0.9712,1999.807632,-6.38,-0.32,1.18,0.06,-7.23,-0.36,251.74,0.03
335,Entry long,2026-03-23 11:00,long,2059.11,0.9712,1999.807632,-6.38,-0.32,1.18,0.06,-7.23,-0.36,251.74,0.03
336,Exit short,2026-03-23 13:15,long,2065.35,0.9744,1999.994976,-12.48,-0.62,1.85,0.09,-19.07,-0.95,239.26,0.02
336,Entry short,2026-03-23 11:45,short,2052.54,0.9744,1999.994976,-12.48,-0.62,1.85,0.09,-19.07,-0.95,239.26,0.02
337,Exit long,2026-03-23 14:45,short,2037.3,0.9683,1999.878405,-27.16,-1.36,5.12,0.26,-35.71,-1.79,212.1,0.02
337,Entry long,2026-03-23 13:15,long,2065.35,0.9683,1999.878405,-27.16,-1.36,5.12,0.26,-35.71,-1.79,212.1,0.02
338,Exit short,2026-03-23 16:15,long,2053.55,0.9816,1999.81368,-15.95,-0.80,14,0.70,-21.46,-1.07,196.15,0.02
338,Entry short,2026-03-23 14:45,short,2037.3,0.9816,1999.81368,-15.95,-0.80,14,0.70,-21.46,-1.07,196.15,0.02
339,Exit long,2026-03-23 17:00,short,2042.91,0.9739,1999.952345,-10.36,-0.52,4.06,0.20,-15.39,-0.77,185.79,0.02
339,Entry long,2026-03-23 16:15,long,2053.55,0.9739,1999.952345,-10.36,-0.52,4.06,0.20,-15.39,-0.77,185.79,0.02
340,Exit short,2026-03-23 18:30,long,2044.35,0.9789,1999.804599,-1.41,-0.07,14.4,0.72,-10.9,-0.54,184.38,0.02
340,Entry short,2026-03-23 17:00,short,2042.91,0.9789,1999.804599,-1.41,-0.07,14.4,0.72,-10.9,-0.54,184.38,0.02
341,Exit long,2026-03-23 23:45,short,2128.45,0.9783,1999.987605,82.28,4.11,150.87,7.54,-3.27,-0.16,266.65,0.03
341,Entry long,2026-03-23 18:30,long,2044.35,0.9783,1999.987605,82.28,4.11,150.87,7.54,-3.27,-0.16,266.65,0.03
342,Exit short,2026-03-24 02:00,long,2150.77,0.9396,1999.89162,-20.97,-1.05,10.03,0.50,-28.27,-1.41,245.68,0.02
342,Entry short,2026-03-23 23:45,short,2128.45,0.9396,1999.89162,-20.97,-1.05,10.03,0.50,-28.27,-1.41,245.68,0.02
343,Exit long,2026-03-24 05:45,short,2157.7,0.9298,1999.785946,6.44,0.32,26.01,1.30,-4.7,-0.24,252.12,0.03
343,Entry long,2026-03-24 02:00,long,2150.77,0.9298,1999.785946,6.44,0.32,26.01,1.30,-4.7,-0.24,252.12,0.03
344,Exit short,2026-03-24 09:30,long,2130.9,0.9269,1999.97213,24.84,1.24,31,1.55,-1.77,-0.09,276.96,0.03
344,Entry short,2026-03-24 05:45,short,2157.7,0.9269,1999.97213,24.84,1.24,31,1.55,-1.77,-0.09,276.96,0.03
345,Exit long,2026-03-24 10:15,short,2139.39,0.9385,1999.84965,7.97,0.40,14.1,0.70,-1.72,-0.09,284.93,0.03
345,Entry long,2026-03-24 09:30,long,2130.9,0.9385,1999.84965,7.97,0.40,14.1,0.70,-1.72,-0.09,284.93,0.03
346,Exit short,2026-03-24 12:30,long,2135.38,0.9348,1999.901772,3.75,0.19,8.12,0.41,-11.82,-0.59,288.68,0.03
346,Entry short,2026-03-24 10:15,short,2139.39,0.9348,1999.901772,3.75,0.19,8.12,0.41,-11.82,-0.59,288.68,0.03
347,Exit long,2026-03-24 13:15,short,2129.75,0.9366,1999.996908,-5.27,-0.26,3.85,0.19,-6.13,-0.31,283.41,0.03
347,Entry long,2026-03-24 12:30,long,2135.38,0.9366,1999.996908,-5.27,-0.26,3.85,0.19,-6.13,-0.31,283.41,0.03
348,Exit short,2026-03-24 14:45,long,2145.3,0.939,1999.83525,-14.6,-0.73,0.19,0.01,-15.59,-0.78,268.81,0.03
348,Entry short,2026-03-24 13:15,short,2129.75,0.939,1999.83525,-14.6,-0.73,0.19,0.01,-15.59,-0.78,268.81,0.03
349,Exit long,2026-03-24 18:30,short,2160.65,0.9322,1999.84866,14.31,0.72,23.63,1.18,-1.09,-0.05,283.11,0.03
349,Entry long,2026-03-24 14:45,long,2145.3,0.9322,1999.84866,14.31,0.72,23.63,1.18,-1.09,-0.05,283.11,0.03
350,Exit short,2026-03-24 19:15,long,2160.99,0.9256,1999.89764,-0.31,-0.02,7.89,0.39,-2.12,-0.11,282.8,0.03
350,Entry short,2026-03-24 18:30,short,2160.65,0.9256,1999.89764,-0.31,-0.02,7.89,0.39,-2.12,-0.11,282.8,0.03
351,Exit long,2026-03-24 20:45,short,2162.44,0.9255,1999.996245,1.34,0.07,13.11,0.66,-1.94,-0.10,284.14,0.03
351,Entry long,2026-03-24 19:15,long,2160.99,0.9255,1999.996245,1.34,0.07,13.11,0.66,-1.94,-0.10,284.14,0.03
352,Exit short,2026-03-25 02:45,long,2118.92,0.9248,1999.824512,40.25,2.01,54.95,2.75,-2.86,-0.14,324.39,0.03
352,Entry short,2026-03-24 20:45,short,2162.44,0.9248,1999.824512,40.25,2.01,54.95,2.75,-2.86,-0.14,324.39,0.03
353,Exit long,2026-03-25 10:15,short,2156.23,0.9438,1999.836696,35.21,1.76,46.92,2.35,-4.29,-0.21,359.6,0.04
353,Entry long,2026-03-25 02:45,long,2118.92,0.9438,1999.836696,35.21,1.76,46.92,2.35,-4.29,-0.21,359.6,0.04
354,Exit short,2026-03-25 12:30,long,2160.72,0.9275,1999.903325,-4.16,-0.21,8.56,0.43,-7.84,-0.39,355.44,0.04
354,Entry short,2026-03-25 10:15,short,2156.23,0.9275,1999.903325,-4.16,-0.21,8.56,0.43,-7.84,-0.39,355.44,0.04
355,Exit long,2026-03-25 15:30,short,2170.53,0.9256,1999.962432,9.08,0.45,17.6,0.88,-0.67,-0.03,364.52,0.04
355,Entry long,2026-03-25 12:30,long,2160.72,0.9256,1999.962432,9.08,0.45,17.6,0.88,-0.67,-0.03,364.52,0.04
356,Exit short,2026-03-25 17:00,long,2179.84,0.9214,1999.926342,-8.58,-0.43,9.88,0.49,-19.72,-0.99,355.94,0.04
356,Entry short,2026-03-25 15:30,short,2170.53,0.9214,1999.926342,-8.58,-0.43,9.88,0.49,-19.72,-0.99,355.94,0.04
357,Exit long,2026-03-25 20:45,short,2183.31,0.9174,1999.785216,3.18,0.16,17.6,0.88,-13.6,-0.68,359.12,0.04
357,Entry long,2026-03-25 17:00,long,2179.84,0.9174,1999.785216,3.18,0.16,17.6,0.88,-13.6,-0.68,359.12,0.04
358,Exit short,2026-03-25 21:30,long,2188.89,0.916,1999.91196,-5.11,-0.26,3.3,0.16,-13.6,-0.68,354.01,0.04
358,Entry short,2026-03-25 20:45,short,2183.31,0.916,1999.91196,-5.11,-0.26,3.3,0.16,-13.6,-0.68,354.01,0.04
359,Exit long,2026-03-25 22:15,short,2180.03,0.9137,1999.988793,-8.1,-0.40,3.7,0.19,-12.36,-0.62,345.92,0.03
