Trade number,类型,日期和时间,信号,价格 USDT,大小（数量）,大小（价值）,Net PnL USDT,Net PnL %,有利波动 USDT,有利波动 %,不利波动 USDT,不利波动 %,Cumulative PnL USDT,Cumulative PnL %
1281,空头进场,2026-01-01 06:30,VltClsSE,2980.61,1,2980.61,6.14,0.21,10.42,0.35,0,0.00,1098.17,0.11
1282,多头出场,2026-01-01 11:45,VltClsSE,2980.69,1,2974.47,6.22,0.21,14.49,0.49,0,0.00,1104.39,0.11
1282,多头进场,2026-01-01 08:00,VltClsLE,2974.47,1,2974.47,6.22,0.21,14.49,0.49,0,0.00,1104.39,0.11
1283,空头出场,2026-01-01 12:45,VltClsLE,2976.67,1,2980.69,4.02,0.13,7.7,0.26,-0.28,-0.01,1108.41,0.11
1283,空头进场,2026-01-01 11:45,VltClsSE,2980.69,1,2980.69,4.02,0.13,7.7,0.26,-0.28,-0.01,1108.41,0.11
1284,多头出场,2026-01-01 14:00,VltClsSE,2978.9,1,2976.67,2.23,0.07,7.12,0.24,-1.32,-0.04,1110.64,0.11
1284,多头进场,2026-01-01 12:45,VltClsLE,2976.67,1,2976.67,2.23,0.07,7.12,0.24,-1.32,-0.04,1110.64,0.11
1285,空头出场,2026-01-01 15:00,VltClsLE,2977.75,1,2978.9,1.15,0.04,3.01,0.10,-2.06,-0.07,1111.79,0.11
1285,空头进场,2026-01-01 14:00,VltClsSE,2978.9,1,2978.9,1.15,0.04,3.01,0.10,-2.06,-0.07,1111.79,0.11
1286,多头出场,2026-01-01 15:45,VltClsSE,2978.15,1,2977.75,0.4,0.01,3.14,0.11,-0.45,-0.02,1112.19,0.11
1286,多头进场,2026-01-01 15:00,VltClsLE,2977.75,1,2977.75,0.4,0.01,3.14,0.11,-0.45,-0.02,1112.19,0.11
1287,空头出场,2026-01-01 16:00,VltClsLE,2980.9,1,2978.15,-2.75,-0.09,0.35,0.01,-2.75,-0.09,1109.44,0.11
1287,空头进场,2026-01-01 15:45,VltClsSE,2978.15,1,2978.15,-2.75,-0.09,0.35,0.01,-2.75,-0.09,1109.44,0.11
1288,多头出场,2026-01-01 18:15,VltClsSE,2983.74,1,2980.9,2.84,0.10,6.51,0.22,-0.9,-0.03,1112.28,0.11
1288,多头进场,2026-01-01 16:00,VltClsLE,2980.9,1,2980.9,2.84,0.10,6.51,0.22,-0.9,-0.03,1112.28,0.11
1289,空头出场,2026-01-01 18:45,VltClsLE,2984.61,1,2983.74,-0.87,-0.03,1.6,0.05,-0.87,-0.03,1111.41,0.11
1289,空头进场,2026-01-01 18:15,VltClsSE,2983.74,1,2983.74,-0.87,-0.03,1.6,0.05,-0.87,-0.03,1111.41,0.11
1290,多头出场,2026-01-01 20:15,VltClsSE,2985.45,1,2984.61,0.84,0.03,8.59,0.29,0,0.00,1112.25,0.11
1290,多头进场,2026-01-01 18:45,VltClsLE,2984.61,1,2984.61,0.84,0.03,8.59,0.29,0,0.00,1112.25,0.11
1291,空头出场,2026-01-01 20:45,VltClsLE,2987.21,1,2985.45,-1.76,-0.06,2.09,0.07,-1.76,-0.06,1110.49,0.11
1291,空头进场,2026-01-01 20:15,VltClsSE,2985.45,1,2985.45,-1.76,-0.06,2.09,0.07,-1.76,-0.06,1110.49,0.11
1292,多头出场,2026-01-01 21:15,VltClsSE,2986.15,1,2987.21,-1.06,-0.04,2.88,0.10,-1.2,-0.04,1109.43,0.11
1292,多头进场,2026-01-01 20:45,VltClsLE,2987.21,1,2987.21,-1.06,-0.04,2.88,0.10,-1.2,-0.04,1109.43,0.11
1293,空头出场,2026-01-01 22:45,VltClsLE,2984.51,1,2986.15,1.64,0.05,8.41,0.28,0,0.00,1111.07,0.11
1293,空头进场,2026-01-01 21:15,VltClsSE,2986.15,1,2986.15,1.64,0.05,8.41,0.28,0,0.00,1111.07,0.11
1294,多头出场,2026-01-01 23:00,VltClsSE,2981.6,1,2984.51,-2.91,-0.10,1.94,0.07,-2.91,-0.10,1108.16,0.11
1294,多头进场,2026-01-01 22:45,VltClsLE,2984.51,1,2984.51,-2.91,-0.10,1.94,0.07,-2.91,-0.10,1108.16,0.11
1295,空头出场,2026-01-01 23:15,VltClsLE,2986.72,1,2981.6,-5.12,-0.17,0.85,0.03,-5.12,-0.17,1103.04,0.11
1295,空头进场,2026-01-01 23:00,VltClsSE,2981.6,1,2981.6,-5.12,-0.17,0.85,0.03,-5.12,-0.17,1103.04,0.11
1296,多头出场,2026-01-02 00:00,VltClsSE,2984.73,1,2986.72,-1.99,-0.07,8.15,0.27,-2.88,-0.10,1101.05,0.11
1296,多头进场,2026-01-01 23:15,VltClsLE,2986.72,1,2986.72,-1.99,-0.07,8.15,0.27,-2.88,-0.10,1101.05,0.11
1297,空头出场,2026-01-02 01:15,VltClsLE,2989.4,1,2984.73,-4.67,-0.16,3.98,0.13,-4.67,-0.16,1096.38,0.11
1297,空头进场,2026-01-02 00:00,VltClsSE,2984.73,1,2984.73,-4.67,-0.16,3.98,0.13,-4.67,-0.16,1096.38,0.11
1298,多头出场,2026-01-02 04:30,VltClsSE,2989.73,1,2989.4,0.33,0.01,16.58,0.55,-4.25,-0.14,1096.71,0.11
1298,多头进场,2026-01-02 01:15,VltClsLE,2989.4,1,2989.4,0.33,0.01,16.58,0.55,-4.25,-0.14,1096.71,0.11
1299,空头出场,2026-01-02 05:00,VltClsLE,2991.86,1,2989.73,-2.13,-0.07,2.19,0.07,-2.13,-0.07,1094.58,0.11
1299,空头进场,2026-01-02 04:30,VltClsSE,2989.73,1,2989.73,-2.13,-0.07,2.19,0.07,-2.13,-0.07,1094.58,0.11
1300,多头出场,2026-01-02 05:30,VltClsSE,2990.24,1,2991.86,-1.62,-0.05,1.2,0.04,-1.62,-0.05,1092.96,0.11
1300,多头进场,2026-01-02 05:00,VltClsLE,2991.86,1,2991.86,-1.62,-0.05,1.2,0.04,-1.62,-0.05,1092.96,0.11
1301,空头出场,2026-01-02 06:00,VltClsLE,2992.13,1,2990.24,-1.89,-0.06,2.58,0.09,-1.89,-0.06,1091.07,0.11
1301,空头进场,2026-01-02 05:30,VltClsSE,2990.24,1,2990.24,-1.89,-0.06,2.58,0.09,-1.89,-0.06,1091.07,0.11
1302,多头出场,2026-01-02 06:30,VltClsSE,2990.26,1,2992.13,-1.87,-0.06,2.29,0.08,-1.87,-0.06,1089.2,0.11
1302,多头进场,2026-01-02 06:00,VltClsLE,2992.13,1,2992.13,-1.87,-0.06,2.29,0.08,-1.87,-0.06,1089.2,0.11
1303,空头出场,2026-01-02 06:45,VltClsLE,2994.42,1,2990.26,-4.16,-0.14,2.69,0.09,-4.16,-0.14,1085.04,0.11
1303,空头进场,2026-01-02 06:30,VltClsSE,2990.26,1,2990.26,-4.16,-0.14,2.69,0.09,-4.16,-0.14,1085.04,0.11
1304,多头出场,2026-01-02 07:00,VltClsSE,2995.44,1,2994.42,1.02,0.03,9.31,0.31,0,0.00,1086.06,0.11
1304,多头进场,2026-01-02 06:45,VltClsLE,2994.42,1,2994.42,1.02,0.03,9.31,0.31,0,0.00,1086.06,0.11
1305,空头出场,2026-01-02 07:15,VltClsLE,3002.9,1,2995.44,-7.46,-0.25,4.46,0.15,-7.46,-0.25,1078.6,0.11
1305,空头进场,2026-01-02 07:00,VltClsSE,2995.44,1,2995.44,-7.46,-0.25,4.46,0.15,-7.46,-0.25,1078.6,0.11
1306,多头出场,2026-01-02 07:45,VltClsSE,3002.48,1,3002.9,-0.42,-0.01,7.1,0.24,-0.42,-0.01,1078.18,0.11
1306,多头进场,2026-01-02 07:15,VltClsLE,3002.9,1,3002.9,-0.42,-0.01,7.1,0.24,-0.42,-0.01,1078.18,0.11
1307,空头出场,2026-01-02 08:30,VltClsLE,3008.05,1,3002.48,-5.57,-0.19,7.1,0.24,-5.57,-0.19,1072.61,0.11
1307,空头进场,2026-01-02 07:45,VltClsSE,3002.48,1,3002.48,-5.57,-0.19,7.1,0.24,-5.57,-0.19,1072.61,0.11
1308,多头出场,2026-01-02 10:00,VltClsSE,2999.19,1,3008.05,-8.86,-0.29,0.43,0.01,-9.59,-0.32,1063.75,0.11
1308,多头进场,2026-01-02 08:30,VltClsLE,3008.05,1,3008.05,-8.86,-0.29,0.43,0.01,-9.59,-0.32,1063.75,0.11
1309,空头出场,2026-01-02 10:45,VltClsLE,3001.01,1,2999.19,-1.82,-0.06,6.7,0.22,-1.82,-0.06,1061.93,0.11
1309,空头进场,2026-01-02 10:00,VltClsSE,2999.19,1,2999.19,-1.82,-0.06,6.7,0.22,-1.82,-0.06,1061.93,0.11
1310,多头出场,2026-01-02 13:15,VltClsSE,3010.04,1,3001.01,9.03,0.30,33.99,1.13,-1.01,-0.03,1070.96,0.11
1310,多头进场,2026-01-02 10:45,VltClsLE,3001.01,1,3001.01,9.03,0.30,33.99,1.13,-1.01,-0.03,1070.96,0.11
1311,空头出场,2026-01-02 13:45,VltClsLE,3017.67,1,3010.04,-7.63,-0.25,1.02,0.03,-7.63,-0.25,1063.33,0.11
1311,空头进场,2026-01-02 13:15,VltClsSE,3010.04,1,3010.04,-7.63,-0.25,1.02,0.03,-7.63,-0.25,1063.33,0.11
1312,多头出场,2026-01-02 14:45,VltClsSE,3027.81,1,3017.67,10.14,0.34,21.87,0.72,-3.18,-0.11,1073.47,0.11
1312,多头进场,2026-01-02 13:45,VltClsLE,3017.67,1,3017.67,10.14,0.34,21.87,0.72,-3.18,-0.11,1073.47,0.11
1313,空头出场,2026-01-02 16:00,VltClsLE,3023.49,1,3027.81,4.32,0.14,11.86,0.39,-4.6,-0.15,1077.79,0.11
1313,空头进场,2026-01-02 14:45,VltClsSE,3027.81,1,3027.81,4.32,0.14,11.86,0.39,-4.6,-0.15,1077.79,0.11
1314,多头出场,2026-01-02 19:00,VltClsSE,3047.17,1,3023.49,23.68,0.78,46.22,1.53,-0.88,-0.03,1101.47,0.11
1314,多头进场,2026-01-02 16:00,VltClsLE,3023.49,1,3023.49,23.68,0.78,46.22,1.53,-0.88,-0.03,1101.47,0.11
1315,空头出场,2026-01-02 20:30,VltClsLE,3056.48,1,3047.17,-9.31,-0.31,6.28,0.21,-9.31,-0.31,1092.16,0.11
1315,空头进场,2026-01-02 19:00,VltClsSE,3047.17,1,3047.17,-9.31,-0.31,6.28,0.21,-9.31,-0.31,1092.16,0.11
1316,多头出场,2026-01-02 20:45,VltClsSE,3049.8,1,3056.48,-6.68,-0.22,1.49,0.05,-6.68,-0.22,1085.48,0.11
1316,多头进场,2026-01-02 20:30,VltClsLE,3056.48,1,3056.48,-6.68,-0.22,1.49,0.05,-6.68,-0.22,1085.48,0.11
1317,空头出场,2026-01-02 21:00,VltClsLE,3053.76,1,3049.8,-3.96,-0.13,3.45,0.11,-3.96,-0.13,1081.52,0.11
1317,空头进场,2026-01-02 20:45,VltClsSE,3049.8,1,3049.8,-3.96,-0.13,3.45,0.11,-3.96,-0.13,1081.52,0.11
1318,多头出场,2026-01-02 22:00,VltClsSE,3044.6,1,3053.76,-9.16,-0.30,4.66,0.15,-9.16,-0.30,1072.36,0.11
1318,多头进场,2026-01-02 21:00,VltClsLE,3053.76,1,3053.76,-9.16,-0.30,4.66,0.15,-9.16,-0.30,1072.36,0.11
1319,空头出场,2026-01-02 22:30,VltClsLE,3044.44,1,3044.6,0.16,0.01,23.81,0.78,-0.26,-0.01,1072.52,0.11
1319,空头进场,2026-01-02 22:00,VltClsSE,3044.6,1,3044.6,0.16,0.01,23.81,0.78,-0.26,-0.01,1072.52,0.11
1320,多头出场,2026-01-03 01:45,VltClsSE,3112.21,1,3044.44,67.77,2.23,105.57,3.47,0,0.00,1140.29,0.11
1320,多头进场,2026-01-02 22:30,VltClsLE,3044.44,1,3044.44,67.77,2.23,105.57,3.47,0,0.00,1140.29,0.11
1321,空头出场,2026-01-03 05:45,VltClsLE,3132.2,1,3112.21,-19.99,-0.64,15.08,0.48,-19.99,-0.64,1120.3,0.11
1321,空头进场,2026-01-03 01:45,VltClsSE,3112.21,1,3112.21,-19.99,-0.64,15.08,0.48,-19.99,-0.64,1120.3,0.11
1322,多头出场,2026-01-03 08:15,VltClsSE,3123.81,1,3132.2,-8.39,-0.27,13.8,0.44,-11.9,-0.38,1111.91,0.11
1322,多头进场,2026-01-03 05:45,VltClsLE,3132.2,1,3132.2,-8.39,-0.27,13.8,0.44,-11.9,-0.38,1111.91,0.11
1323,空头出场,2026-01-03 08:45,VltClsLE,3135.32,1,3123.81,-11.51,-0.37,1.55,0.05,-11.51,-0.37,1100.4,0.11
1323,空头进场,2026-01-03 08:15,VltClsSE,3123.81,1,3123.81,-11.51,-0.37,1.55,0.05,-11.51,-0.37,1100.4,0.11
1324,多头出场,2026-01-03 09:15,VltClsSE,3126.67,1,3135.32,-8.65,-0.28,1.39,0.04,-8.65,-0.28,1091.75,0.11
1324,多头进场,2026-01-03 08:45,VltClsLE,3135.32,1,3135.32,-8.65,-0.28,1.39,0.04,-8.65,-0.28,1091.75,0.11
1325,空头出场,2026-01-03 09:30,VltClsLE,3129.95,1,3126.67,-3.28,-0.10,3.24,0.10,-3.28,-0.10,1088.47,0.11
1325,空头进场,2026-01-03 09:15,VltClsSE,3126.67,1,3126.67,-3.28,-0.10,3.24,0.10,-3.28,-0.10,1088.47,0.11
1326,多头出场,2026-01-03 10:00,VltClsSE,3126.35,1,3129.95,-3.6,-0.12,1.9,0.06,-3.6,-0.12,1084.87,0.11
1326,多头进场,2026-01-03 09:30,VltClsLE,3129.95,1,3129.95,-3.6,-0.12,1.9,0.06,-3.6,-0.12,1084.87,0.11
1327,空头出场,2026-01-03 10:15,VltClsLE,3127,1,3126.35,-0.65,-0.02,6.18,0.20,-0.65,-0.02,1084.22,0.11
1327,空头进场,2026-01-03 10:00,VltClsSE,3126.35,1,3126.35,-0.65,-0.02,6.18,0.20,-0.65,-0.02,1084.22,0.11
1328,多头出场,2026-01-03 11:00,VltClsSE,3121.79,1,3127,-5.21,-0.17,2.27,0.07,-5.21,-0.17,1079.01,0.11
1328,多头进场,2026-01-03 10:15,VltClsLE,3127,1,3127,-5.21,-0.17,2.27,0.07,-5.21,-0.17,1079.01,0.11
1329,空头出场,2026-01-03 13:45,VltClsLE,3111.46,1,3121.79,10.33,0.33,16.9,0.54,-6,-0.19,1089.34,0.11
1329,空头进场,2026-01-03 11:00,VltClsSE,3121.79,1,3121.79,10.33,0.33,16.9,0.54,-6,-0.19,1089.34,0.11
1330,多头出场,2026-01-03 14:15,VltClsSE,3110.48,1,3111.46,-0.98,-0.03,6.3,0.20,-1.17,-0.04,1088.36,0.11
1330,多头进场,2026-01-03 13:45,VltClsLE,3111.46,1,3111.46,-0.98,-0.03,6.3,0.20,-1.17,-0.04,1088.36,0.11
1331,空头出场,2026-01-03 15:00,VltClsLE,3104.22,1,3110.48,6.26,0.20,16.72,0.54,-1.51,-0.05,1094.62,0.11
1331,空头进场,2026-01-03 14:15,VltClsSE,3110.48,1,3110.48,6.26,0.20,16.72,0.54,-1.51,-0.05,1094.62,0.11
1332,多头出场,2026-01-03 15:15,VltClsSE,3089,1,3104.22,-15.22,-0.49,1.09,0.04,-15.22,-0.49,1079.4,0.11
1332,多头进场,2026-01-03 15:00,VltClsLE,3104.22,1,3104.22,-15.22,-0.49,1.09,0.04,-15.22,-0.49,1079.4,0.11
1333,空头出场,2026-01-03 15:30,VltClsLE,3091.02,1,3089,-2.02,-0.07,13,0.42,-2.02,-0.07,1077.38,0.11
1333,空头进场,2026-01-03 15:15,VltClsSE,3089,1,3089,-2.02,-0.07,13,0.42,-2.02,-0.07,1077.38,0.11
1334,多头出场,2026-01-03 17:45,VltClsSE,3101.81,1,3091.02,10.79,0.35,19.54,0.63,-7.16,-0.23,1088.17,0.11
1334,多头进场,2026-01-03 15:30,VltClsLE,3091.02,1,3091.02,10.79,0.35,19.54,0.63,-7.16,-0.23,1088.17,0.11
1335,空头出场,2026-01-03 19:30,VltClsLE,3098.13,1,3101.81,3.68,0.12,9.82,0.32,-3.72,-0.12,1091.85,0.11
1335,空头进场,2026-01-03 17:45,VltClsSE,3101.81,1,3101.81,3.68,0.12,9.82,0.32,-3.72,-0.12,1091.85,0.11
1336,多头出场,2026-01-03 20:00,VltClsSE,3094.67,1,3098.13,-3.46,-0.11,2.09,0.07,-3.46,-0.11,1088.39,0.11
1336,多头进场,2026-01-03 19:30,VltClsLE,3098.13,1,3098.13,-3.46,-0.11,2.09,0.07,-3.46,-0.11,1088.39,0.11
1337,空头出场,2026-01-03 20:15,VltClsLE,3098.57,1,3094.67,-3.9,-0.13,1.2,0.04,-3.9,-0.13,1084.49,0.11
1337,空头进场,2026-01-03 20:00,VltClsSE,3094.67,1,3094.67,-3.9,-0.13,1.2,0.04,-3.9,-0.13,1084.49,0.11
1338,多头出场,2026-01-03 20:30,VltClsSE,3097.34,1,3098.57,-1.23,-0.04,2.7,0.09,-1.23,-0.04,1083.26,0.11
1338,多头进场,2026-01-03 20:15,VltClsLE,3098.57,1,3098.57,-1.23,-0.04,2.7,0.09,-1.23,-0.04,1083.26,0.11
1339,空头出场,2026-01-03 20:45,VltClsLE,3104.49,1,3097.34,-7.15,-0.23,1.34,0.04,-7.15,-0.23,1076.11,0.11
1339,空头进场,2026-01-03 20:30,VltClsSE,3097.34,1,3097.34,-7.15,-0.23,1.34,0.04,-7.15,-0.23,1076.11,0.11
1340,多头出场,2026-01-03 21:00,VltClsSE,3100.92,1,3104.49,-3.57,-0.11,2.2,0.07,-3.57,-0.11,1072.54,0.11
1340,多头进场,2026-01-03 20:45,VltClsLE,3104.49,1,3104.49,-3.57,-0.11,2.2,0.07,-3.57,-0.11,1072.54,0.11
1341,空头出场,2026-01-03 21:15,VltClsLE,3105.46,1,3100.92,-4.54,-0.15,0.03,0.00,-4.54,-0.15,1068,0.11
1341,空头进场,2026-01-03 21:00,VltClsSE,3100.92,1,3100.92,-4.54,-0.15,0.03,0.00,-4.54,-0.15,1068,0.11
1342,多头出场,2026-01-03 23:00,VltClsSE,3101.38,1,3105.46,-4.08,-0.13,9.15,0.29,-4.08,-0.13,1063.92,0.11
1342,多头进场,2026-01-03 21:15,VltClsLE,3105.46,1,3105.46,-4.08,-0.13,9.15,0.29,-4.08,-0.13,1063.92,0.11
1343,空头出场,2026-01-04 00:00,VltClsLE,3105.33,1,3101.38,-3.95,-0.13,1.1,0.04,-6.12,-0.20,1059.97,0.11
1343,空头进场,2026-01-03 23:00,VltClsSE,3101.38,1,3101.38,-3.95,-0.13,1.1,0.04,-6.12,-0.20,1059.97,0.11
1344,多头出场,2026-01-04 00:15,VltClsSE,3099.21,1,3105.33,-6.12,-0.20,0.48,0.02,-6.12,-0.20,1053.85,0.11
1344,多头进场,2026-01-04 00:00,VltClsLE,3105.33,1,3105.33,-6.12,-0.20,0.48,0.02,-6.12,-0.20,1053.85,0.11
1345,空头出场,2026-01-04 00:30,VltClsLE,3107.62,1,3099.21,-8.41,-0.27,0.88,0.03,-8.41,-0.27,1045.44,0.10
1345,空头进场,2026-01-04 00:15,VltClsSE,3099.21,1,3099.21,-8.41,-0.27,0.88,0.03,-8.41,-0.27,1045.44,0.10
1346,多头出场,2026-01-04 02:00,VltClsSE,3105.95,1,3107.62,-1.67,-0.05,4.55,0.15,-2,-0.06,1043.77,0.10
1346,多头进场,2026-01-04 00:30,VltClsLE,3107.62,1,3107.62,-1.67,-0.05,4.55,0.15,-2,-0.06,1043.77,0.10
1347,空头出场,2026-01-04 02:15,VltClsLE,3109.35,1,3105.95,-3.4,-0.11,0.87,0.03,-3.4,-0.11,1040.37,0.10
1347,空头进场,2026-01-04 02:00,VltClsSE,3105.95,1,3105.95,-3.4,-0.11,0.87,0.03,-3.4,-0.11,1040.37,0.10
1348,多头出场,2026-01-04 03:00,VltClsSE,3112.6,1,3109.35,3.25,0.10,9.2,0.30,0,0.00,1043.62,0.10
1348,多头进场,2026-01-04 02:15,VltClsLE,3109.35,1,3109.35,3.25,0.10,9.2,0.30,0,0.00,1043.62,0.10
1349,空头出场,2026-01-04 04:30,VltClsLE,3113.1,1,3112.6,-0.5,-0.02,5.11,0.16,-2.44,-0.08,1043.12,0.10
1349,空头进场,2026-01-04 03:00,VltClsSE,3112.6,1,3112.6,-0.5,-0.02,5.11,0.16,-2.44,-0.08,1043.12,0.10
1350,多头出场,2026-01-04 06:00,VltClsSE,3116.92,1,3113.1,3.82,0.12,16.12,0.52,-0.06,0.00,1046.94,0.10
1350,多头进场,2026-01-04 04:30,VltClsLE,3113.1,1,3113.1,3.82,0.12,16.12,0.52,-0.06,0.00,1046.94,0.10
1351,空头出场,2026-01-04 06:15,VltClsLE,3118.59,1,3116.92,-1.67,-0.05,3,0.10,-1.67,-0.05,1045.27,0.10
1351,空头进场,2026-01-04 06:00,VltClsSE,3116.92,1,3116.92,-1.67,-0.05,3,0.10,-1.67,-0.05,1045.27,0.10
1352,多头出场,2026-01-04 08:15,VltClsSE,3139.96,1,3118.59,21.37,0.69,40.41,1.30,0,0.00,1066.64,0.11
1352,多头进场,2026-01-04 06:15,VltClsLE,3118.59,1,3118.59,21.37,0.69,40.41,1.30,0,0.00,1066.64,0.11
1353,空头出场,2026-01-04 08:30,VltClsLE,3148.84,1,3139.96,-8.88,-0.28,0.69,0.02,-8.88,-0.28,1057.76,0.11
1353,空头进场,2026-01-04 08:15,VltClsSE,3139.96,1,3139.96,-8.88,-0.28,0.69,0.02,-8.88,-0.28,1057.76,0.11
1354,多头出场,2026-01-04 10:00,VltClsSE,3140.91,1,3148.84,-7.93,-0.25,18.38,0.58,-7.93,-0.25,1049.83,0.10
1354,多头进场,2026-01-04 08:30,VltClsLE,3148.84,1,3148.84,-7.93,-0.25,18.38,0.58,-7.93,-0.25,1049.83,0.10
1355,空头出场,2026-01-04 11:00,VltClsLE,3146.92,1,3140.91,-6.01,-0.19,3.31,0.11,-7.98,-0.25,1043.82,0.10
1355,空头进场,2026-01-04 10:00,VltClsSE,3140.91,1,3140.91,-6.01,-0.19,3.31,0.11,-7.98,-0.25,1043.82,0.10
1356,多头出场,2026-01-04 12:45,VltClsSE,3148.79,1,3146.92,1.87,0.06,9.08,0.29,-5.2,-0.17,1045.69,0.10
1356,多头进场,2026-01-04 11:00,VltClsLE,3146.92,1,3146.92,1.87,0.06,9.08,0.29,-5.2,-0.17,1045.69,0.10
1357,空头出场,2026-01-04 13:15,VltClsLE,3151.92,1,3148.79,-3.13,-0.10,4.31,0.14,-3.13,-0.10,1042.56,0.10
1357,空头进场,2026-01-04 12:45,VltClsSE,3148.79,1,3148.79,-3.13,-0.10,4.31,0.14,-3.13,-0.10,1042.56,0.10
1358,多头出场,2026-01-04 13:30,VltClsSE,3146.78,1,3151.92,-5.14,-0.16,0.38,0.01,-5.14,-0.16,1037.42,0.10
1358,多头进场,2026-01-04 13:15,VltClsLE,3151.92,1,3151.92,-5.14,-0.16,0.38,0.01,-5.14,-0.16,1037.42,0.10
1359,空头出场,2026-01-04 14:00,VltClsLE,3155.47,1,3146.78,-8.69,-0.28,1.23,0.04,-8.69,-0.28,1028.73,0.10
1359,空头进场,2026-01-04 13:30,VltClsSE,3146.78,1,3146.78,-8.69,-0.28,1.23,0.04,-8.69,-0.28,1028.73,0.10
1360,多头出场,2026-01-04 14:15,VltClsSE,3149.85,1,3155.47,-5.62,-0.18,4.13,0.13,-5.62,-0.18,1023.11,0.10
1360,多头进场,2026-01-04 14:00,VltClsLE,3155.47,1,3155.47,-5.62,-0.18,4.13,0.13,-5.62,-0.18,1023.11,0.10
1361,空头出场,2026-01-04 17:15,VltClsLE,3143.53,1,3149.85,6.32,0.20,23.85,0.76,-13.34,-0.42,1029.43,0.10
1361,空头进场,2026-01-04 14:15,VltClsSE,3149.85,1,3149.85,6.32,0.20,23.85,0.76,-13.34,-0.42,1029.43,0.10
1362,多头出场,2026-01-04 19:00,VltClsSE,3143.3,1,3143.53,-0.23,-0.01,4.77,0.15,-7.61,-0.24,1029.2,0.10
1362,多头进场,2026-01-04 17:15,VltClsLE,3143.53,1,3143.53,-0.23,-0.01,4.77,0.15,-7.61,-0.24,1029.2,0.10
1363,空头出场,2026-01-04 20:15,VltClsLE,3141.92,1,3143.3,1.38,0.04,7.98,0.25,0,0.00,1030.58,0.10
1363,空头进场,2026-01-04 19:00,VltClsSE,3143.3,1,3143.3,1.38,0.04,7.98,0.25,0,0.00,1030.58,0.10
1364,多头出场,2026-01-04 20:30,VltClsSE,3140.53,1,3141.92,-1.39,-0.04,5.34,0.17,-1.39,-0.04,1029.19,0.10
1364,多头进场,2026-01-04 20:15,VltClsLE,3141.92,1,3141.92,-1.39,-0.04,5.34,0.17,-1.39,-0.04,1029.19,0.10
1365,空头出场,2026-01-04 23:45,VltClsLE,3135.48,1,3140.53,5.05,0.16,11.76,0.37,-2.77,-0.09,1034.24,0.10
1365,空头进场,2026-01-04 20:30,VltClsSE,3140.53,1,3140.53,5.05,0.16,11.76,0.37,-2.77,-0.09,1034.24,0.10
1366,多头出场,2026-01-05 02:00,VltClsSE,3133.83,1,3135.48,-1.65,-0.05,8.12,0.26,-16.73,-0.53,1032.59,0.10
1366,多头进场,2026-01-04 23:45,VltClsLE,3135.48,1,3135.48,-1.65,-0.05,8.12,0.26,-16.73,-0.53,1032.59,0.10
1367,空头出场,2026-01-05 03:15,VltClsLE,3133.32,1,3133.83,0.51,0.02,14.85,0.47,-1.77,-0.06,1033.1,0.10
1367,空头进场,2026-01-05 02:00,VltClsSE,3133.83,1,3133.83,0.51,0.02,14.85,0.47,-1.77,-0.06,1033.1,0.10
1368,多头出场,2026-01-05 05:15,VltClsSE,3143.71,1,3133.32,10.39,0.33,22.53,0.72,-5.02,-0.16,1043.49,0.10
1368,多头进场,2026-01-05 03:15,VltClsLE,3133.32,1,3133.32,10.39,0.33,22.53,0.72,-5.02,-0.16,1043.49,0.10
1369,空头出场,2026-01-05 05:45,VltClsLE,3145.38,1,3143.71,-1.67,-0.05,5.96,0.19,-2.87,-0.09,1041.82,0.10
1369,空头进场,2026-01-05 05:15,VltClsSE,3143.71,1,3143.71,-1.67,-0.05,5.96,0.19,-2.87,-0.09,1041.82,0.10
1370,多头出场,2026-01-05 06:00,VltClsSE,3138.64,1,3145.38,-6.74,-0.21,4.98,0.16,-6.74,-0.21,1035.08,0.10
1370,多头进场,2026-01-05 05:45,VltClsLE,3145.38,1,3145.38,-6.74,-0.21,4.98,0.16,-6.74,-0.21,1035.08,0.10
1371,空头出场,2026-01-05 07:00,VltClsLE,3144.88,1,3138.64,-6.24,-0.20,2.2,0.07,-6.24,-0.20,1028.84,0.10
1371,空头进场,2026-01-05 06:00,VltClsSE,3138.64,1,3138.64,-6.24,-0.20,2.2,0.07,-6.24,-0.20,1028.84,0.10
1372,多头出场,2026-01-05 08:15,VltClsSE,3143.98,1,3144.88,-0.9,-0.03,17.67,0.56,-10.21,-0.32,1027.94,0.10
1372,多头进场,2026-01-05 07:00,VltClsLE,3144.88,1,3144.88,-0.9,-0.03,17.67,0.56,-10.21,-0.32,1027.94,0.10
1373,空头出场,2026-01-05 08:45,VltClsLE,3165.23,1,3143.98,-21.25,-0.68,0.44,0.01,-21.25,-0.68,1006.69,0.10
1373,空头进场,2026-01-05 08:15,VltClsSE,3143.98,1,3143.98,-21.25,-0.68,0.44,0.01,-21.25,-0.68,1006.69,0.10
1374,多头出场,2026-01-05 12:00,VltClsSE,3180.36,1,3165.23,15.13,0.48,55.59,1.76,-2.11,-0.07,1021.82,0.10
1374,多头进场,2026-01-05 08:45,VltClsLE,3165.23,1,3165.23,15.13,0.48,55.59,1.76,-2.11,-0.07,1021.82,0.10
1375,空头出场,2026-01-05 14:00,VltClsLE,3155.88,1,3180.36,24.48,0.77,32.36,1.02,0,0.00,1046.3,0.10
